lodging_id;lodging_code;lodging_name;latitude;longitude;state
21;0x80c8c44c6a19d797:0x54b41131c5112473;Harbor Island Apartments;36.109714;-115.1578794;NV
22;0x809921e9a48e6249:0x89d199d5f1ba9c66;Recharge Bar & Grill;39.5540812;-119.4900325;NV
23;0x80c8c394e5aad12d:0x6743281ce68171e8;Golden Nugget Carson Tower;36.1694667;-115.1458791;NV
24;0x80ca2b3be7738dc1:0x433b16ba96f46999;Stateline Casino;36.8036618;-114.0791419;NV
25;0x80993f5b10000005:0x85f8886a27447886;Spa at Grand Sierra Resort;39.52312;-119.778391;NV
26;0x809940b90ed99ba9:0xc30b0bbd9db026b3;Best Bet Lodging;39.5157053;-119.8084962;NV
27;0x88e6d9341a9a1edd:0x128274d78488c1f8;Daytona Beach Oceanside Inn;29.19948;-80.99375909999999;FL
28;0x8833b69c357ac66f:0xec661f639c5931e1;Oceanfront Resorts & Beachside Condo Rentals;30.2553196;-85.95883099999999;FL
29;0x88e8726c816a3057:0xe0d9d1765f555ca5;A1 Value Inn Hernando;28.8972436;-82.3729841;FL
30;0x88e77bee8518ceef:0xbbd071e414788286;Palms Inn;28.5106252;-81.418326;FL
31;0x88917bc780591bd3:0xe91f7016081d1a26;Hotel;30.731531;-86.35842099999999;FL
32;0x8890be2c9ee1c88f:0x63f6e3b304f99f33;Magnuson Inn Pensacola;30.4933646;-87.2636318;FL
33;0x88dd8198383d4729:0xaa6ecbbc4c95fb72;Blue Inn Lake Buena Vista South;28.3348068;-81.4812007;FL
34;0x88dd73c363db06ad:0xd99764aee62a1649;GrandFloridianVilla;28.1306888;-81.6290992;FL
35;0x88dd80812203577d:0x5f77db1e909b56e9;Building 69;28.4011894;-81.46872929999999;FL
36;0x88d9c7f1d1a779df:0xbc923669c3837bf4;The Best Miami Hotel;25.7054282;-80.29106949999999;FL
37;0x88dd8403c1469b19:0x72b2f5f03ea1a10b;Hotel Kissimee;28.3055248;-81.4214248;FL
38;0x8893ee1eed2f1a8f:0xbf4e502da8ba3df8;Alys Beach Vacation Rentals;30.286906;-86.02884499999999;FL
39;0x88ded4ab4b3dcf65:0x845b75f7ecca8687;Club at Ibis;26.7973888;-80.20534789999999;FL
40;0x88d904a42807e2c5:0x95a7e582512fc3ff;Resort Tours International LLC;26.2569675;-80.1928482;FL
41;0x88db1f20ee252a57:0xd20c6af7874a0b54;The Club at LaPlaya Beach & Golf Resort;26.2612456;-81.8242112;FL
42;0x88c3161fccbd8f07:0xe6554ab112fd56e9;Knights Inn Bradenton;27.479056;-82.562516;FL
43;0x88db77ebbf79ad13:0xb2c245f14ce5f48e;River Landings - Florida Luxury Motorcoach Resort;26.7110154;-81.5342029;FL
44;0x88d9a75cc39c60c9:0xe2a461716a0475eb;Sunset View Ranches;26.0847054;-80.3472731;FL
45;0x88d9b39aa3559053:0x677282a59e0e03c5;Best Western Plus Atlantik;25.8133029;-80.1224441;FL
46;0x88dd921900000001:0xf5284359b69bf368;The Sausage Castle;28.6746959;-81.7150497;FL
47;0x88d9e0cad472e0fb:0xbaec17e880e6c93a;Everglades Hostel and Tours- An Urban Oasis;25.4475279;-80.4796578;FL
48;0x88d9bf0f6d589633:0xd2f600ffc1be75f9;Lake House Apartments;25.7568953;-80.40248129999999;FL
49;0x88913f2bc33b5241:0xd3b322d9426f0baa;Nautilus Condominium;30.3972638;-86.61713379999999;FL
50;0x88dda78c46a1692f:0xd931b55882ff034a;Circle F;27.8778708;-81.5084796;FL
51;0x88e0a79649ab2be7:0x1be8d3c058d6dae7;Cocoa Beach Towers;28.3700065;-80.6027483;FL
52;0x88c2fc4efd1b7d71:0x30cf6714de0fb583;Maderia Beach;27.7925734;-82.7912987;FL
53;0x88c2fc4f13baa68b:0x131e3133eb8bb5c2;Villa Madeira;27.7934379;-82.792366;FL
54;0x88e6555ba81e73ff:0x2771e17709e51881;The Castaways On the River;29.1658458;-81.52429;FL
55;0x88c4adbe955860ad:0xdf2aff20005e0921;Uncle Henry's Marina;26.8032703;-82.275409;FL
56;0x88d903c55457bd63:0xffd8bd14e832fb44;Rodeway Inn;26.18755;-80.15376669999999;FL
57;0x88d9abac544cf39f:0x595ac693179ba072;Protano's Bakery;26.03202;-80.150998;FL
58;0x88e5ca4f4ba2076b:0xe0a95152da4af65f;Hawthorn Suites By Wyndham Jacksonville;30.2221014;-81.5760727;FL
59;0x88dbfbb27073bd1d:0x91d8cf080c8d18bf;West Express Inn;26.7543576;-80.93867829999999;FL
60;0x88c2efe0942cf5e5:0xdd6697bc72264f72;ECONO INN;27.9428104;-82.7310198;FL
61;0x88e77dd4b14a224d:0x6aa10d93b20597ae;The Florida Hotel & Conference Center, BW Premier Collection;28.4448902;-81.3960048;FL
62;0x88c2cb0db4a16c39:0x3b4d2bb2417af061;Tampa East RV Resort;28.0150283;-82.25021459999999;FL
63;0x88938cdf9171c191:0x81bd571cd76c2f60;Splash Owner's Association;30.2337413;-85.91082399999999;FL
64;0x88d8e07a5435aa33:0xc994423912f54df9;Delray South Shore Club;26.4409788;-80.0619133;FL
65;0x88dae356b6bcdef1:0xfa70596c0c375116;Classics Golf At Lely Resort;26.091237;-81.69773099999999;FL
66;0x88d8d610efcfffff:0x48747dcf3fa8edbc;breakers hotel;26.7161287;-80.0850516;FL
67;0x88c35b6376a6b0fd:0xd31d784fc107ebba;A Place To Be Motel;27.1271692;-82.4710487;FL
68;0x88d9b36158b3a55f:0xa82f05bedf34d1d7;Chic Apartments at Miami Beach;25.8040769;-80.1260671;FL
69;0x88e7648b437faec1:0xfaebd98e821b5831;Ventura Resort Rentals Orlando;28.5175025;-81.2924529;FL
70;0x88e77c43d4f6cd2b:0x1a911bd3a2a6d7f;Westgate Resorts - Lake Ellenor;28.4677474;-81.400059;FL
71;0x88d9b8d6e54dcf91:0xacf69be3983bf999;Gonzalo;25.764455;-80.35815699999999;FL
72;0x88e77c42ddd3cd2d:0xe39ec54b1bcc3f67;Rodeway Inn Near Florida Mall;28.468061;-81.39614399999999;FL
73;0x88db6a0642877ff9:0xba78dded26ba4bec;Relax Inn;26.6481839;-81.8622412;FL
74;0x88c295b2468d628f:0x9308b992574a7cb6;Good Shepherd Pet Hospital;28.1931246;-82.596091;FL
75;0x88d9b7f925538a19:0xb2884ea541389ce8;Emiliano Breit Salon & Spa;25.747769;-80.2583057;FL
76;0x88c2c450777c49d9:0x9a8c5b67be1d4a02;Ybor Resort & Spa;27.9610831;-82.4425952;FL
77;0x8891414c2b72dc09:0x569f4e692abd671f;The Spa at Emerald Grande;30.3946039;-86.51212919999999;FL
78;0x88e7c2ea17e0bda9:0x630ffb309b3f580d;Wildwood Country Resort;28.838257;-82.018073;FL
79;0x88dae4a6f369f5ab:0x6b0bf134c9f98bad;Champion Lely Resort;26.0845299;-81.70156279999999;FL
80;0x88e8166153fabd91:0x7371b95f77029086;Deer Park Community;28.7284763;-82.5230064;FL
81;0x88d74754c67fb16d:0x42d21a98273491e1;Conch On Inn Motel;24.9857795;-80.5448567;FL
82;0x8893f2c3bc8a9309:0x8ab889d7e5d075f0;Sunnyside On the Gulf;30.2501734;-85.94728669999999;FL
83;0x88d738bb22c2320d:0x46da9003b72c2f40;Lookout Lodge Resort;24.9709013;-80.5580128;FL
84;0x88d9a48d499c4d91:0xfe5516810a82a164;Paws Grooming & Puppies 🐶;25.9443161;-80.3434903;FL
85;0x88dda6535e9ea11d:0x657a6d73bfc4f128;South Shore Resort;27.8892668;-81.46984619999999;FL
86;0x88db19abba8fdf97:0xfcf8abcbdcd903ce;Bonita Village Resort;26.3307488;-81.8188626;FL
87;0x88ef4a665d9492eb:0xfe9d9892f46b8e3a;Providence, Fl;30.0023019;-82.5467682;FL
88;0x88e713384ffa9c9d:0x423afce0ed9d3f49;Fountainlodge.motel;28.7779018;-81.2761652;FL
89;0x88c2e26822569773:0xcd3504edadd6670e;Driftwood Motel;27.7541128;-82.6790178;FL
90;0x88e8b704ec7562bf:0x6c840d51993e1d55;Econo Lodge;29.80021;-82.50929599999999;FL
91;0x88c2feae55921127:0xa4c64fd3c21a271b;Sea Oats Beach Resort;27.8238889;-82.8291667;FL
92;0x88de0ea05be8096b:0x1b8d34e85e38be42;Holiday Inn Express Melbourne;28.0794926;-80.7018204;FL
93;0x88c33ab0a34f6323:0xa100943dc72e4e2;Christian Retreat;27.5195083;-82.40289299999999;FL
94;0x88ec0ae1685ea439:0x44ba33b0c051c170;Econfina Resort;30.062118;-83.90644189999999;FL
95;0x88d8dfcc379d9511:0x8e9c13d16349e634;Eastwind Beach Club;26.4651298;-80.0580265;FL
96;0x88d0d0e55ee83d5b:0x14ce18e73c8644c5;Casa Del Sol Beach Resort;24.7598717;-80.95368839999999;FL
97;0x88dd3682ea514e51:0xf07fa27796c4fdb6;Wilson Court Motel;28.0168;-82.1263278;FL
98;0x88db5824fa3defb3:0x991821d97d58a8ca;Masonic Lodge 115;26.916821;-82.032139;FL
99;0x88e7bd15808e374f:0xd1bdd26e5846f9c8;Bella Toscana Med Spa;28.8180083;-81.71372559999999;FL
100;0x88d9b3698b17bf55:0x4c6e0f36a729ac11;Sorrento Tower;25.8162956;-80.12183519999999;FL
101;0x88dc67e40fae5b5d:0x732f4c05ba8227b6;Camp Florida RV Resort;27.2651899;-81.3460419;FL
102;0x88c2f9c9c1d701f3:0x2db67015ba308eb4;Arcadia Resorts;27.88141;-82.8491339;FL
103;0x88db1a4855ee8201:0xad452a07e5daa11a;Best Western Bonita Springs Hotel And Suites - CLOSED;26.3325302;-81.75392289999999;FL
104;0x88de0e128a46d259:0x74f9121a8dcb3148;The Courtyard at the Oak;28.0866041;-80.6517137;FL
105;0x88d9a4143abd091d:0x3229c4791d201dd8;Wingate by Wyndham Miramar;25.9832592;-80.3473305;FL
106;0x88dd819a82fca7ff:0xeed4314d33992aa5;Hilton Grand Vacations Sales Center;28.3999868;-81.49302229999999;FL
107;0x88c2fd6ed5301b5f:0x410f9eba17196452;Sunset Cove;27.7503487;-82.7617214;FL
108;0x88def2739b218f49:0xa0bfe8f40fbb7aaf;Best Western Plus Fort Pierce Inn - CLOSED;27.411885;-80.39132099999999;FL
109;0x88dd31df07d16609:0x203d5d927e77ac58;Henry George mobile home park;27.8882942;-82.1026;FL
110;0x88e8a3ab9862a971:0x10f284f678bf41ee;Howard Johnson Express Inn Gainesville FL;29.617275;-82.340969;FL
111;0x889143febe400da9:0x74bd7f7030f49520;Seascape Resort Inc;30.3781108;-86.36749259999999;FL
112;0x88dc5d133ae5e927:0x559d6a1bedb45fa2;Lake June Vacation Resort;27.307604;-81.370385;FL
113;0x88dd80aaa29f1f0f:0x7b18323d90b9481d;JW Marriott Pool Deck;28.4027235;-81.428752;FL
114;0x88e5b59da3a4ef0f:0xb5fcdf1fe5e00653;Staybridge Suites Jacksonville;30.2704964;-81.5609952;FL
115;0x88dd7a2cf527d151:0x6a49aba56797c8f6;Small World Castle;28.2723245;-81.6103083;FL
116;0x88d9aac42e1172db:0xd0b2c4c44e9e1605;Ocean Queen;26.049395;-80.1125265;FL
117;0x88d9b45d0a6bd1b3:0x306ab9373598a834;5 Star Island;25.775874;-80.15137059999999;FL
118;0x88d901d34c968651:0xcfbd1cddf45835e1;Seville Hotel & Apartments;26.12564;-80.1047574;FL
119;0x88d9b36a5d8ecc0f:0xc992706c91a98e63;Versailles Tower;25.8182842;-80.1227526;FL
120;0x88e77e36565f90bd:0xa7e4202be7e0a624;International Drive;28.4257524;-81.4640387;FL
121;0x88c2bbeb016f3889:0x18f5549444e4e69c;Land of Id;28.2585733;-82.4601946;FL
122;0x88914355a6530697:0x19465a534a2cd8a0;Wyndham Vacation Rentals - Central Destin Office;30.3889732;-86.42147349999999;FL
123;0x88c3272f77374a97:0xd9de998d02c9b1d0;Riverside Golf & Boating Resort Office;27.6815828;-82.46522689999999;FL
124;0x88dd7dafbda83fc3:0x86e745e6f195ca69;Orange Lake Holiday Inn;28.3684692;-81.6062154;FL
125;0x88c2e5a2ebb025a7:0x9a14452d84f10f2b;Ramada Clearwater Airport;27.8931409;-82.6823043;FL
126;0x88ef3aff3275407f:0x746cfc94cc58ba11;Travelodge Lake City;30.1801228;-82.6931506;FL
127;0x88c341f075b615bf:0x33e1001f29bfabcb;La Siesta Condominiums;27.2674088;-82.5509471;FL
128;0x88d1b19cf7675625:0xb8067d0cdb881937;El Mar RV Resort;24.5677414;-81.7312443;FL
129;0x8893f2ed7be8dabf:0xe750ee093066a5d;Cottages Christian Retreat;30.2560441;-85.9606919;FL
130;0x88def13d820b73ff:0xc560752cf09c9bcd;Grandview Motel;27.4712875;-80.3349315;FL
131;0x88dd8708fba04361:0x83162e03ef25c60a;Wonder Vacation Homes;28.347375;-81.4143155;FL
132;0x88db34de19a22927:0xb9d769b9b839c911;Plantation Beach Club;26.5423938;-82.1965958;FL
133;0x88daef9920c3b779:0x327c8f599ee463f;Marco Resort & Club;25.973251;-81.7283717;FL
134;0x8890be2b132f34e1:0x7621b48018a85f79;Magnuson Hotel Pensacola;30.4948639;-87.26289539999999;FL
135;0x88dafcb4aa4d79d5:0x40f1fde61088e8e9;Aster at Lely Resorts;26.103167;-81.69093939999999;FL
136;0x88c2bbf8c531d101:0xef4273b49a0ce849;Caribbean Mystique Massage & Wellness Spa of Lutz;28.1930828;-82.4734649;FL
137;0x88de01df7492ee2b:0x3aa441a3b878770;The 12 Step Group;28.3567456;-80.74673039999999;FL
138;0x88d9e76cb29b0c67:0x82e0150f70f914bd;Caribe Motel;25.4776972;-80.4767198;FL
139;0x88dc67e57e44d99f:0x980ceb58cff2b0cb;Lakeshore Resort Motel;27.2671787;-81.35055059999999;FL
140;0x88ef1875a7fa7f3d:0xcd0715e2ac8021d8;Bienville Plantation;30.3975582;-82.7700347;FL
141;0x8894973b9a5a465b:0x24205474442b2ef0;Port St. Joe;29.8083728;-85.2927406;FL
142;0x88e6da1d50ff9ff3:0x6fa66d8c4df564dc;Econo Lodge Oceanfront;29.207998;-80.998274;FL
143;0x88c339e7a3a8016b:0xfc8d73379032079c;The Ritz-Carlton Members Golf Club;27.41403;-82.3883819;FL
144;0x88de5e4c73b4ec35:0x847d98db91d5d9b0;Jackie Robinson Training Complex;27.6430103;-80.4282588;FL
145;0x88e79e1123aa1b1f:0x6c9cb5bbe28616ac;Apopka Golf & Tennis at Errol Estate;28.703944;-81.53435499999999;FL
146;0x88dd817a002d5155:0xe5606f7b0b3f08de;The Villas at Seven Dwarfs;28.324065;-81.466306;FL
147;0x88dd82cdbfcfd9cb:0x31ddc9907394b1b3;Trafalgar Village Resort;28.2261597;-81.484079;FL
148;0x88e782f7baf68ba3:0x6a94abfda168c3b2;Red Roof Inn Orlando West;28.5527265;-81.5461443;FL
149;0x89d486fb46b35e0f:0xf89fc350fa1c93f0;Niagara Shores Campground and Conference Center;43.3429024;-78.6801596;NY
150;0x89dcb7335d716b83:0x907a8da18fe71e92;Beaver Lake Estates;41.6209466;-74.6609958;NY
151;0x89db13ecafbbe529:0xd5c805963c226bc6;Dream Catcher Estates;42.0211941;-75.41107319999999;NY
152;0x89dc4ca7b63134bf:0xaf23c9cf30d4bf44;Copper Kettle Motel;42.3087071;-74.2308664;NY
153;0x89c26f45eee3cd61:0x2662039bdad2c4d;New Nautilus Hotel;40.5870102;-73.73514399999999;NY
154;0x89c25d083146323d:0x99be325598c440fa;Quality Inn;40.669491;-73.909065;NY
155;0x89dda727441cf737:0x72807623e6d06bd9;Exchange Hotel Inc;42.0779332;-73.9526262;NY
156;0x89df8ecdf74eda73:0x9789bda52cf66f5f;Morningside Camps & Cottages;43.78574;-73.9717545;NY
157;0x89d3751ae436beef:0x7759893d58496bf5;Buffalo Airport Inn;42.9506263;-78.693213;NY
158;0x89dd8d8dd059884b:0x1659e5595185ae3d;Vanderbilt House Hotel;42.2484432;-73.6568506;NY
159;0x89c25a183a90dd95:0x5e007ece3643f3b4;17 John St Associates;40.71;-74.00869999999999;NY
160;0x89d342e4859a95b7:0x132913f3b48959db;Seneca Gaming Corporation;43.0881095;-79.0575951;NY
161;0x89d3a64b2469560d:0x3e07314d17654c8b;East Aurora Country Club;42.7845512;-78.6107905;NY
162;0x89d8dfd1f4d6133f:0x3e814895de8faef5;American Hotel;43.4836557;-75.3310377;NY
163;0x89c244c7ded1d263:0x5c3dac2dc6104026;Midwood Suites;40.6232665;-73.96128089999999;NY
164;0x89de0d1933c5eb53:0x30862ff9c89c138a;Days Inn by Wyndham Albany Airport;42.7541536;-73.8161447;NY
165;0x89df903680663c8d:0x1ffc93d6315ca700;Copperfield Inn Resort;43.7016842;-73.9889522;NY
166;0x89dc677f2939d52d:0xc8d464bcbcded947;The Roxbury at Stratton Falls;42.2626609;-74.5984191;NY
167;0x89d73bd3d8595d7f:0xdc26a1f92c9508dc;Oak Park Resort Marina;43.234998;-76.925974;NY
168;0x89d3f1e4861c801b:0x37331731c18aa4c2;Comfort Inn Batavia-Darien - Amusement Park Area;43.020697;-78.193302;NY
169;0x89d14bf5c9c6e703:0x6a113e7518858da2;Country Inn & Suites By Carlson, Rochester-Henrietta, NY;43.0604812;-77.6522014;NY
170;0x89c2592bf625bead:0xfe68b6430a93ea26;Motel 6 Long Island City - Queens;40.7441095;-73.9406743;NY
171;0x89c258f5922d74b9:0x85af792fa088fefb;Empire Hotel Lobby Bar;40.7713725;-73.982677;NY
172;0x89dbd79fee1bb16d:0x30b3960ed244718;Wendt University Inn;42.835438;-75.551754;NY
173;0x89d146de5a94ee45:0x9c237574ffe7ae2d;American Hotel Of Lima;42.9047889;-77.61155699999999;NY
174;0x89c259a78a9e2a79:0x830b08f0443eb24d;Hotel Deauville;40.7438423;-73.9831275;NY
175;0x89dcc76e12e2ac05:0xdfe8c6708dc9d189;The Houzz;41.7121066;-74.5778606;NY
176;0x89d96b4c9066e4ef:0xd1aa4d075a912378;Scottish Inns;43.1224599;-75.4055906;NY
177;0x89dd9b8968d0b7a5:0x2b3773dcb07a920a;Lake Taghkanic Cabins;42.0867184;-73.7175492;NY
178;0x89c25c5fbb7ebf39:0x5b11a7e136c8bd57;Howard Johnson by Wyndham Brooklyn;40.667243;-73.9104289;NY
179;0x89e8f7a9df28825f:0xcb7b151959f8605;Dune Deck Beach Club;40.7897035;-72.6626221;NY
180;0x89d342effcd19e4b:0xd21d817be4e21e69;The Terrapin Inn;43.0833057;-79.0525531;NY
181;0x89dfc44e50a1b069:0x8eb9f5b27bbadbb5;Motel 6;43.4219674;-73.7149786;NY
182;0x89d99d078f261073:0xa838d300a2294a5b;Graziano's Motor Lodge;43.0868007;-75.7512555;NY
183;0x89c25c4518e7e5cb:0x50f4d806d422906a;East New York Inn;40.676167;-73.9032265;NY
184;0x89c259a586ccf82d:0x5ff48b58c7b23bf0;Penn station nyc;40.7462092;-73.99144;NY
185;0x89d4014195bf30d5:0x7f1eac4efd3c006f;Red Rock Ponds RV Resort;43.255157;-78.0770732;NY
186;0x89c258577a8cbecb:0x851478c97e1927cb;New Paradise Men's Spa;40.7648616;-73.9868137;NY
187;0x89c259a8c72ce547:0xb21944dfe33352a9;The Grand NYC Apartments;40.7472082;-73.98794509999999;NY
188;0x4ccd03440148aab9:0xf6083705354b62c6;Black Lake Marine's Cottages;44.5457026;-75.5668492;NY
189;0x89d6b356de5cf997:0xe57c81d729b0637e;Ramada Plaza by Wyndham Rochester Airport;43.128944;-77.658052;NY
190;0x89c25a550a55b86d:0xf9967ea3863e55bc;Super 8 by Wyndham Brooklyn / Park Slope Hotel;40.6778769;-73.98554759999999;NY
191;0x89c260cf46b4689b:0x3982c68992efb7e6;Howard Johnson by Wyndham Jamaica NY Near AirTrain JFK;40.6996345;-73.81107329999999;NY
192;0x89d35d37122344fd:0x36d7ee429ec4f3f7;Rainbow Dog Hotel & Day Care;43.1197043;-79.04562539999999;NY
193;0x89d2a8e54c5c9ce5:0xe349c9faf337164e;Lido's Crescent Inn;42.0938484;-79.2348514;NY
194;0x89dc1d3269422229:0xf63aba975804fb6a;Pleasant Brook Hotel;42.7165358;-74.76466599999999;NY
195;0x89dbd818444b5807:0xe1ad983351f5141d;Hamilton Inn;42.8471145;-75.5197677;NY
196;0x89d9e8d2ecfaaaab:0xe3eb74228cc16f6a;Wingate by Wyndham Liverpool/Syracuse;43.1876792;-76.234703;NY
197;0x89d9e8cd8328ad35:0x3aeb9f7f41fbe;Fairfield Inn by Marriott Syracuse Clay;43.1876988;-76.2346566;NY
198;0x89c25a3cb220501d:0x69fe4bc857c0b3b9;Best Western Plus Seaport Inn Downtown;40.7081065;-74.0013876;NY
199;0x89d9476d4c431281:0x985ce8570a82dd1c;Knights Inn Utica;43.1141667;-75.2138889;NY
200;0x89c25a10c46e5517:0xa6db57b222d111d9;Riff Downtown;40.7084385;-74.0136868;NY
201;0x89dfce4984aaa485:0xacbd33cecf7d50d4;Econo Lodge;43.33051;-73.680002;NY
202;0x89de6a9e26e00bff:0x488dd79cd53cc77b;Triple Crown Motel;42.9467468;-73.86955669999999;NY
203;0x89d73b1576e2c07f:0x1685e0f6b1a6a7c3;Sodus Bay Heights Golf Club;43.2539409;-76.9883033;NY
204;0x89d486ec5b15e6df:0x1782ecb9ef1eef46;Olcott Harbor Resort;43.3338188;-78.7205621;NY
205;0x89d1afb11ffa1921:0xccab9cd6c7bc171f;Hotel Mcdonnell Social Club;42.342325;-77.3410169;NY
206;0x89d6b3574c44e581:0x31252b5276fd034;Holiday Inn Rochester Airport;43.128843;-77.65807699999999;NY
207;0x89c259d10e654f89:0x62d82b277df2095a;Sandbar Rooftop;40.7455564;-73.9937483;NY
208;0x89dcb8af38dd7043:0x4f04c8c8a1e12617;Koson Bungalows;41.7356592;-74.59972929999999;NY
209;0x89ddbda3a1f3283d:0x296d41d1edf80827;Catskill Inn;42.228553;-73.8694257;NY
210;0x89d98c8ba75b65ab:0x7548fc1a57bce9c3;LaFleur de Beaute Inc;43.026713;-76.04328699999999;NY
211;0x89dc26e7a8588261:0xaad64d086e21d209;Inn & Suites;42.6826168;-74.47401169999999;NY
212;0x89d6d471c9240a9b:0x68a03f9b1e58dba8;Creekside Resort;43.1297451;-77.2759301;NY
213;0x89dcafb22debe019:0x822a1c8de7843689;Smallwood Beach;41.6582658;-74.812007;NY
214;0x89d9271646164f53:0x3397c1a26d133f1d;Alder Creek Golf Course & Country Inn;43.4094276;-75.22406;NY
215;0x89d0c519913e05c5:0x7b99a763ee99d7d1;Bragdon House Bed & Breakfast - Wine Tours;42.8626231;-76.98325;NY
216;0x89dc4ca2302fb153:0x9a1ddf29b225c5a6;Windham Country Club;42.3037641;-74.23329489999999;NY
217;0x89db1148e13621e1:0xb8c37b87467ca288;Scott's Oquaga Lake House;42.017629;-75.45936999999999;NY
218;0x89d36e9dbadfe92d:0xe597539b954538ec;Byblos Niagara Resort and Spa;43.0213364;-78.8963582;NY
219;0x89c25ece25176577:0x935048e3baeb98f;Best Western Long Island City;40.7369151;-73.927988;NY
220;0x89daec8e559027f3:0xf7c0a1950f7b08e6;Endicott Inn;42.0994977;-76.04827379999999;NY
221;0x89d3925ff7e50b73:0x7238666d77833379;North Pembroke Hotel;43.0213529;-78.3363828;NY
222;0x89da99e9e051c4e3:0xd5ca208984377d30;Deep Well Motel;42.097295;-76.287369;NY
223;0x89d126e5c8ff9223:0x2f835f85e9377f82;D And D Hotel;42.8719076;-77.24992979999999;NY
224;0x4ccb1d493332681b:0xce99d3d674d41eb5;Moose Lodge;44.3120237;-74.0020088;NY
225;0x89c2892a10012dd5:0x7123ae4f518ad0b8;Knickerbocker Yacht Hotel;40.828952;-73.70263899999999;NY
226;0x89dcb7515db88503:0x49b91f16ee14fe57;Candlewood;41.6702116;-74.6805679;NY
227;0x89dea1b808c5ce39:0x742410d5cff34445;Roseboro Hotel;42.7949103;-74.61818389999999;NY
228;0x89d90f2c09c4fa1d:0x3d8960648ab4cceb;Fish Creek Cabin Resort;43.3032561;-75.6160788;NY
229;0x89d8369fc25922b9:0x2beb3f4ae49b0b0;The Scheppard’s Hook Motel;43.6312237;-76.1536187;NY
230;0x89c3331fe11658ef:0x90dacb05546749dd;Wallkill Inn & Suites;41.4636297;-74.3748011;NY
231;0x89d373d8874f5df7:0x3c873465b0462ea1;Ramada Amherst/Getzville Hotel and Conference Center;43.0084372;-78.77917719999999;NY
232;0x89de0b5fa9b5a569:0x4a1ac16865a32f22;Comfort Inn & Suites Airport - Wolf Road;42.710347;-73.821376;NY
233;0x4ccaf95cbaf2fdef:0x5b8aa703a86830de;Olympic Dreams Chalet;44.3626756;-73.8367962;NY
234;0x89c2d729b828bfad:0x18411c9f0cfaa0d1;CLOVE PLAZA;41.3485863;-74.1673093;NY
235;0x89d8755c12797bc1:0xe45d6ebe640d1089;Depauville Hotel;44.1394568;-76.0679218;NY
236;0x89c352e996ab601d:0x5d13ba2c4f2da9f8;Mohican Lake Resort;41.5162265;-74.8104145;NY
237;0x89da1694a9eec73f:0x70e4cebe69835e00;Preble Hotel;42.7358577;-76.1495271;NY
238;0x89d27e330e2d22c9:0x3e5a91dd02db7b9d;Mystic Water Resort;42.0286483;-78.64218129999999;NY
239;0x89c259b2f05408cd:0x5fe4da8fac293fc3;Quality Inn Convention Center;40.7553166;-73.9973521;NY
240;0x89c2613d37dfa795:0x9b64f785629b08d1;Sleep Inn JFK Airport;40.705209;-73.782127;NY
241;0x89ddb713660abf69:0xaee5c7b7dde46b76;Acra Manor Resort;42.3099546;-74.0538134;NY
